cmtid,itemid,rating_star,comment,modelid,model_name,filter,anonymous,origin_region,region,ctime,submit_time
14900679361,22489557572,5,"Giao Hàng Nhanh. Đóng Gói Đẹp.Giao Đúng Màu, Đặt size 41 giao đúng size 41. Chủ shop nhiệt tình. Dép giá hợp lý và đẹp nữa. Mn nhớ ủng hộ shop nha. Cho shop 5 sao",184956190808,"Quai đen đế trắng,Size 43",1,False,vn,VN,1713278105,1713278105
14891685894,22489557572,5,"U là trời. Ưng ý lắm luôn nha mọi người. Chất da thì khỏi bàn cãi vì hàng chuẩn da xịn, chuẩn thương hiệu. Thiết kế cũng mang phong cách riêng. K đại trà Giao Hàng Nhanh. Đóng Gói Đẹp.Giao Đúng Màu, Đặt size 41 giao đúng size 41. Chủ shop nhiệt tình. Dép giá hợp lý và đẹp nữa. Mn nhớ ủng hộ shop nha.Thấy review trên shop đẹp mà rẻ nên mua thử, chất quá đẹp, quá ổn với giá tiền nha, màu đẹp như trong ảnh, da căng mịn. nói chung với giá đó khá là ok. Cho shop 5 sao",184956190808,"Quai đen đế trắng,Size 43",1,False,vn,VN,1713191142,1713191142
14920483239,22489557572,5,"Hàng của shop mình đã mua và sử dụng thấy rất tốt.Tốt từ chát liệu đến fom dáng,cá bạn lên mua ủng hộ shop nha.Còn về chất lượng phục vụ shop tư vấn size số rất nhiệt tình .Xứng đáng 5 sao",184956190808,"Quai đen đế trắng,Size 43",1,False,vn,VN,1713446645,1713446645
14875387692,22489557572,5,"Hàng của shop mình đã mua và sử dụng thấy rất tốt.Tốt từ chát liệu đến fom dáng,cá bạn lên mua ủng hộ shop nha.Còn về chất lượng phục vụ shop tư vấn size số rất nhiệt tình .Xứng đáng 5 sao",184956190800,"Full đen,Size 43",1,False,vn,VN,1713013062,1713013062
15168562152,22489557572,5,"Giá rẻ, săn sale còn rẻ hơn mà nhìu đồ, chất lượng mẫu mã đẹp. Nói chung là điểm 10 cho chất lượng. Nên mua nhé mọi người !",184956190805,"Full đen,Size 41",1,False,vn,VN,1715504574,1715504574
14982293679,22489557572,5,"Shopee xưa giờ chuyên bán giá rẻ cho nên mình sợ vấn đề về chất lượng lắm. Nhưng từ khi mua được sản phẩm ở shop này thì mình đã yên tâm hơn rất rất là nhiều. nhận được hàng,hoàn toàn ưng ý về các sản phẩm của shop làm ăn nhanh chóng không lề mề,anh chủ thì tuyệt vời rồi rất nhiệt tình rep tin nhắn nhanh. Còn về sản phẩm rất đẹp hàng chuẩn như hình ảnh sản phẩm 9 thì shop 10 rồi. ủng hộ shop lâu dài",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1713971965,1713971965
15299026694,22489557572,5,"Mua của shop lâu rồi nay mới lên review. Sản phẩm rất đẹp, đóng gói cẩn thận, giao hàng cho bên vận chuyển nhanh. Mình mua về tặng chưa thẩm được chất lượng nhưng nhìn hình thức thì rất oki rồi. Mọi người nên mua của shop nhé. 5 sao cho chất lượng tuyệt vời.,",184956190794,"Quai đen đế trắng,Size 41",1,False,vn,VN,1716629807,1716629807
15168010222,22489557572,5,"Mình muua size 41 mang rất vừa chân , form dép chuẩm nên k cần tăng size hay lùi size gì cả , về phần quai in rất sắc nét , đế dép mang siêu êm và nhẹ tênh luôn , cảm ơn shop đã cung cấp sảm phẩm tốt với giá cả quá rẻ👍👍👍👍❤❤❤",184956190805,"Full đen,Size 41",1,False,vn,VN,1715501301,1715501301
14900773075,22489557572,5,"Mua của shop lâu rồi nay mới lên review. Sản phẩm rất đẹp, đóng gói cẩn thận, giao hàng cho bên vận chuyển nhanh. Mình mua về tặng chưa thẩm được chất lượng nhưng nhìn hình thức thì rất oki rồi. Mọi người nên mua của shop nhé. 5 sao cho chất lượng tuyệt vời.",184956190807,"Full đen,Size 38",1,False,vn,VN,1713278824,1713278824
14812818429,22489557572,5,"Mình muua size 41 mang rất vừa chân , form dép chuẩm nên k cần tăng size hay lùi size gì cả , về phần quai in rất sắc nét , đế dép mang siêu êm và nhẹ tênh luôn , cảm ơn shop đã cung cấp sảm phẩm tốt với giá cả quá rẻ👍👍👍👍❤❤❤",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712412148,1712412148
14813037099,22489557572,5,"Sản phẩm đc đóng gói rất là cẩn thận, shop phục vụ nhiệt tình dép đi êm ko bị đau chân lần sau sẽ ủng hộ shop trong thời gian tới.Nói chung là mọi ng nên mua nha",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712413283,1712413283
14996898451,22489557572,5,"Ui nhận được đôi dép siêu xinhhhh luônggggg. Shop quốc tế mà chuẩn bị hàng với ship nhanh quá hà, cỡ 2 ngày là nhận được nè. Săn sale giá hạt dẻ nựa",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1714108631,1714108631
15168268463,22489557572,5,"Dép đẹp, giáo hàng nhanh chóng, đóng gói cẩn thận . Shop uy tín chất lượng giao đúng hình đúng mẫu . Hài lòng sẽ quay lại ủng hộ shop",184956190805,"Full đen,Size 41",1,False,vn,VN,1715502832,1715502832
15046992513,22489557572,5,"Dép đẹp, giáo hàng nhanh chóng, đóng gói cẩn thận . Shop uy tín chất lượng giao đúng hình đúng mẫu . Hài lòng sẽ quay lại ủng hộ shop",184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714556058,1714556058
14875507203,22489557572,5,Giao hàng nhanh dép đúng như hình Chuẩn mẫu chuẩn size mình đặt quá ưng ý sau sẽ ủng hộ shop tiếp tặng shop 5 sao cho động lực nhé,184956190800,"Full đen,Size 43",1,False,vn,VN,1713014067,1713014067
15168643389,22489557572,5,Dép xinh lắm mn ơi ban đầu mình sợ dép bị lỗi ấy nma không hề bị lỗi j luôn shop đóng gói cẩn thận bỏ trong hộp và có cả card cảm ơn nữâa dép lên form siu xinh luôn hình thêu cũng rất đẹp nữa miếng lót ở trong dày dặn êm lắm ạ mang lên nhẹ tênh luôn nchung cho shop 10,184956190805,"Full đen,Size 41",1,False,vn,VN,1715505010,1715505010
14900931882,22489557572,5,"Dép đẹp,mình chân 23 cm mang vừa vặn thoải mái.Shop gói hàng kĩ lắm,không bị móp méo gì,hộp đựng dép cũng đẹp nữa.À với lại mọi người nên mua đúng size nha vì dép có bề ngang khá rộng á nên mua đúng size mang sẽ vừa vặn hơn",184956190807,"Full đen,Size 38",1,False,vn,VN,1713280121,1713280121
15168869527,22489557572,5,đẹp đúng mẫu shop đóng gói cận thận lần sau sẽ ủng hộ shop hình ảnh mang tính chất minh họa à đây là dép của nam lên nữ mua thì lên lùi 1 sz thì vừa đẹp còn muốn đi rộng thì đi đúng sz,184956190805,"Full đen,Size 41",1,False,vn,VN,1715506326,1715506326
15168086293,22489557572,5,"Shop giao hàng nhanh chóng Đóng gói kỹ càng, cẩn thận. Sp đúng như shop mô tả. Mình rất ưng sp này và mua cho cả gia đình mình dùng. Cảm ơn shop về sp này, sẽ ủng hộ shop nữa",184956190805,"Full đen,Size 41",1,False,vn,VN,1715501751,1715501751
14812896882,22489557572,5,"Shop giao hàng nhanh chóng Đóng gói kỹ càng, cẩn thận. Sp đúng như shop mô tả. Mình rất ưng sp này và mua cho cả gia đình mình dùng. Cảm ơn shop về sp này, sẽ ủng hộ shop nữa",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712412552,1712412552
14816659256,22489557572,5,"Dép đẹp và rất ưng ý. Shipper thân thiện, còn chêu kình nữa hhh. Shop đóng gói hàng kĩ quá làm mình mãi mới mở đc hihi. Nói chung hàng đẹp xịn cho 1 sao, ak đùa tí cho 5sao",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712455258,1712455258
14817061827,22489557572,5,"Sản phẩm giao nhanh bọc hàng cẩn thận, màu sắc đúng như mô tả hy vọng là đi bền cho nó đi lại thoải mái, thích nên mua cho nó đi hy vọng là ok",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712457942,1712457942
15043751692,22489557572,5,"Dép đẹp lắm nhé shop ơi, đúng với hình nhé rẻ đẹp đeo khá êm chân, giao hàng nhanh lắm nhé rất ưng ạ lần sau sẽ lji ủng hộ shop ạ",184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714536134,1714536134
15043675103,22489557572,5,"Dép đẹp lắm nhé shop ơi, đúng với hình nhé rẻ đẹp đeo khá êm chân, giao hàng nhanh lắm nhé rất ưng ạ lần sau sẽ lji ủng hộ shop ạ",184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714535604,1714535604
15043011718,22489557572,5,"Dép đẹp lắm nhé shop ơi, đúng với hình nhé rẻ đẹp đeo khá êm chân, giao hàng nhanh lắm nhé rất ưng ạ lần sau sẽ lji ủng hộ shop ạ",184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714530489,1714530489
14891861437,22489557572,5,"Giao hàng nhanh, chất lượng tốt, đúng với mô tả, đi nhẹ, êm, vừa in luôn. Rất tốt, hàng đẹp, mình sẽ mua lại vào lần sau, mn nên mua nha
C",184956190808,"Quai đen đế trắng,Size 43",1,False,vn,VN,1713192561,1713192561
14920558895,22489557572,5,"Giao hàng nhanh, chất lượng tốt, đúng với mô tả, đi nhẹ, êm, vừa in luôn. Rất tốt, hàng đẹp, mình sẽ mua lại vào lần sau, mn nên mua nha",184956190808,"Quai đen đế trắng,Size 43",1,False,vn,VN,1713447058,1713447058
14891919115,22489557572,5,"Giao hàng siu nhanh,đặt hôm qua thì hôm nay có dép mang luôn, dép form đẹp ,quai ko bị rộng vừa ý mình, chân mình 25,5 chọn size 41 vừa luôn",184956190807,"Full đen,Size 38",1,False,vn,VN,1713193072,1713193072
14913639865,22489557572,5,"Sau 2 ngày chờ đợi cuối cùng dép cũng về. Chất lượng dép tuyệt vời.Đi êm không trơn giá cả phải trăng quá xuất sắc luôn , ok la shop",184956190800,"Full đen,Size 43",1,False,vn,VN,1713409128,1713409128
14821035540,22489557572,5,"Giao hàng nhanh, chất lượng tốt, đúng với mô tả, đi nhẹ, êm, vừa in luôn. Rất tốt, hàng đẹp, mình sẽ mua lại vào lần sau, mn nên mua nha",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712478266,1712478266
14820512052,22489557572,5,"Giao hàng nhanh, chất lượng tốt, đúng với mô tả, đi nhẹ, êm, vừa in luôn. Rất tốt, hàng đẹp, mình sẽ mua lại vào lần sau, mn nên mua nha",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712475757,1712475757
14900622473,22489557572,5,"Sau 2 ngày chờ đợi cuối cùng dép cũng về. Chất lượng dép tuyệt vời.Đi êm không trơn giá cả phải trăng quá xuất sắc luôn , ok la shop",184956190807,"Full đen,Size 38",1,False,vn,VN,1713277689,1713277689
14877701767,22489557572,5,"Sau 2 ngày chờ đợi cuối cùng dép cũng về. Chất lượng dép tuyệt vời.Đi êm không trơn giá cả phải trăng quá xuất sắc luôn , ok la shop",184956190811,"Quai trắng đế đen,Size_ 01 CHIẾC KẸO",1,False,vn,VN,1713057994,1713057994
15046571667,22489557572,5,Giao hàng nhanh. Sản phẩm hơi bị chất lượng lun nha mn. Nhìn rất chắc chắn. Mình mua giá sale 40k 1đôi. Quá là tuyệt vời lun ạk,184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714553601,1714553601
